ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,6418.5 px,5120.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
2,6331.5 px,5234.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
3,6070.5 px,5138.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
4,5618.5 px,5552.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
5,7204.5 px,4376.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
6,7739.5 px,5390.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
7,6938.5 px,5388.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
8,7182.5 px,4607.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
9,5750.5 px,5646.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
10,5694.5 px,6029.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
11,5598.5 px,6161.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
12,6147.5 px,6642.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
13,6048.5 px,6465.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
14,4973.5 px,7134.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
15,5638.5 px,7604.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
16,8846.5 px,8576.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
17,10039.5 px,8471.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
18,9887.5 px,7959.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
19,9831.5 px,8184.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
20,11015.5 px,8002.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
21,10739.5 px,8866.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
22,10971.5 px,8730.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
23,11233.5 px,9078.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
24,10976.5 px,9095.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
25,10549.5 px,8968.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
26,10495.5 px,9300.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
27,10479.5 px,9412.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
28,10579.5 px,9356.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
29,10797.5 px,9410.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
30,10959.5 px,9400.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
31,11011.5 px,9453.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
32,10108.5 px,9236.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
33,10073.5 px,9143.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
34,9880.5 px,9197.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
35,9702.5 px,9086.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
36,9766.5 px,8801.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
37,9954.5 px,8795.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
38,9549.5 px,8815.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
39,9586.5 px,9411.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
40,9458.5 px,9341.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
41,9720.5 px,9475.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
42,9930.5 px,9401.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
43,7667.5 px,9488.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
44,7824.5 px,9510.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
45,8660.5 px,8958.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
46,8954.5 px,9003.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
47,8659.5 px,9132.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
48,8499.5 px,9283.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
49,6566.5 px,9458.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
50,7193.5 px,10113.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
51,7012.5 px,10023.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
52,7397.5 px,10065.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
53,7394.5 px,9832.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
54,7784.5 px,9640.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
55,7935.5 px,9742.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
56,9370.5 px,9761.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
57,9660.5 px,9643.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
58,9802.5 px,9622.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
59,10009.5 px,9598.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
60,10490.5 px,9654.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
61,9910.5 px,10037.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
62,9501.5 px,10095.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
63,9638.5 px,10154.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
64,9969.5 px,10425.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
65,10320.5 px,10349.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
66,10493.5 px,10546.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
67,10588.5 px,10336.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
68,10641.5 px,10185.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
69,10859.5 px,10304.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
70,10914.5 px,10133.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
71,10743.5 px,9913.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
72,10327.5 px,10161.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
73,9460.5 px,9843.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
74,11289.5 px,10147.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
75,11276.5 px,10046.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
76,11073.5 px,10019.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
77,11076.5 px,10242.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
78,11397.5 px,10437.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
79,11479.5 px,10397.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
80,9120.5 px,10955.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
81,10674.5 px,11438.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
82,10471.5 px,11502.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
83,10594.5 px,10787.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
84,10358.5 px,10876.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
85,9897.5 px,10672.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
86,7005.5 px,10677.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
87,7509.5 px,10966.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
88,8032.5 px,10575.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
89,8159.5 px,10660.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
90,8313.5 px,10629.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
91,8459.5 px,10540.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
92,8429.5 px,10715.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
93,8017.5 px,10356.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
94,5983.5 px,11138.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
95,6204.5 px,11180.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
96,6305.5 px,11468.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
97,5956.5 px,10103.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
98,5982.5 px,10221.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
99,5065.5 px,11969.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
100,5331.5 px,11987.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
101,5771.5 px,11700.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
102,6072.5 px,11450.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
103,5980.5 px,11815.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
104,6068.5 px,11986.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
105,7123.5 px,10786.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
106,6389.5 px,11278.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
107,11243.5 px,10815.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
108,11942.5 px,11991.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
109,10935.5 px,12150.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
110,9311.5 px,11887.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
111,5725.5 px,12092.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
112,4531.5 px,12816.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
113,4715.5 px,12766.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
114,4870.5 px,12358.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
115,6172.5 px,12536.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
116,7189.5 px,12812.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
117,7398.5 px,12560.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
118,8142.5 px,12524.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
119,9252.5 px,12793.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
120,8539.5 px,12956.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
121,8266.5 px,12546.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
122,9993.5 px,12780.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
123,9761.5 px,12281.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
124,10363.5 px,13465.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
125,10109.5 px,13448.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
126,9733.5 px,13412.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
127,9637.5 px,13575.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
128,7801.5 px,13397.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
129,7236.5 px,13375.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
130,6997.5 px,13181.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
131,4212.5 px,13388.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
132,7212.5 px,13967.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
133,7189.5 px,13715.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
134,7359.5 px,13602.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
135,7911.5 px,13681.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
136,7406.5 px,14149.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
137,8987.5 px,14014.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
138,9831.5 px,14004.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
139,9669.5 px,13854.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
140,9079.5 px,14339.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
141,9032.5 px,14432.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
142,8991.5 px,14164.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
143,8857.5 px,14153.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
144,8798.5 px,14259.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
145,8718.5 px,14280.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
146,8485.5 px,14281.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
147,9492.5 px,14468.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
148,6892.5 px,14719.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
149,5384.5 px,14724.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
150,5199.5 px,14710.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
151,6507.5 px,15903.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
152,6523.5 px,15694.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
153,6586.5 px,15567.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
154,8477.5 px,15935.5 px,[Document Hidden_Little_03_24_2022_Counted_LG.tif],Great Egret,Hidden_Little_03_24_2022,LG
