ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,4608.94145327685 px,4427.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
2,5248.94145327685 px,4757.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
3,5535.94145327685 px,7557.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
4,7098 px,8190.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
5,7331 px,7818.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
6,6703 px,7640.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
7,6539 px,7497.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
8,6800 px,7452.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
9,7137 px,7059.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
10,7570 px,7444.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
11,6475 px,6153.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
12,6741 px,6259.03610347105 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
13,5452 px,9265 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
14,4722 px,9292 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
15,6666 px,9049 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
16,6792 px,8846 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
17,7590 px,9240 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
18,7421 px,8784 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
19,8446 px,9090 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
20,8485 px,8987 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
21,8012 px,9984 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
22,8045 px,10088 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
23,7815 px,10255 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
24,8620 px,9963 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
25,8928 px,10259 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
26,9093 px,10173 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
27,8457 px,10568 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
28,6660 px,10793 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Egret,Forsetti_04_06_2022,LG
29,4997.33333333333 px,8885 px,[Document Forsetti_04_06_2022_Counted_LG.psd],Great Blue Heron,Forsetti_04_06_2022,LG
