ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,10827.5 px,4869.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
2,10645.5 px,4961.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
3,10598.5 px,5132.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
4,10402.5 px,5101.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
5,10294.5 px,5170.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
6,11073.5 px,5130.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
7,9716.5 px,5182.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
8,9122.5 px,5666.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
9,9249.5 px,5599.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
10,9440.5 px,5569.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
11,9480.5 px,5453.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
12,9586.5 px,5514.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
13,9460.5 px,5809.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
14,9601.5 px,5882.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
15,9776.5 px,5861.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
16,11495.5 px,5859.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
17,9822.5 px,6004.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
18,9363.5 px,6153.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
19,10143.5 px,6432.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
20,9991.5 px,6494.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
21,10232.5 px,6576.5 px,[Document Horus_04_06_2022_SV_Counted.psb],Great Egret, Horus_04_06_2022,SV
