ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,9426.5 px,4597.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
2,9433.5 px,4471.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
3,8949.5 px,4820.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
4,8599.5 px,4701.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
5,9275.5 px,5135.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
6,9033.5 px,5747.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
7,10490.5 px,4997.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
8,9875.5 px,5195.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
9,6457.5 px,6293.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
10,7475.5 px,6335.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
11,7655.5 px,6302.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
12,8188.5 px,5788.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
13,8881.5 px,5937.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
14,9008.5 px,5972.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
15,10116.5 px,6613.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
16,9106.5 px,6894.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
17,8503.5 px,7129.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
18,8177.5 px,6601.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
19,7457.5 px,6733.5 px,[Document Nanse_04_29_2022_SV_Counted.psb],Great Egret,Nanse_04_29_2022,SV
