ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,7179.5 px,4381.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
2,6432.5 px,5121.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
3,7179.5 px,4614.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
4,5759.5 px,5123.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
5,6076.5 px,5108.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
6,6335.5 px,5224.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
7,5596.5 px,5539.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
8,5768.5 px,5633.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
9,5592.5 px,6152.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
10,5725.5 px,6054.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
11,6022.5 px,6505.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
12,6156.5 px,6668.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
13,4999.5 px,7123.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
14,7694.5 px,5988.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
15,7729.5 px,5412.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
16,6551.5 px,9439.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
17,6562.5 px,9254.5 px,[Document Hidden_Little_03_24_2022_HC_Counted.psd],Great Egret,Hidden_Little_03_24_2022,HC
