ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,12456.5 px,9711.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
2,11910.5 px,10062.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
3,11877.5 px,10284.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
4,11395.5 px,10391.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
5,10917.5 px,10638.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
6,10909.5 px,10361.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
7,10098.5 px,10467.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
8,10016.5 px,10599.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
9,9543.5 px,10253.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
10,8982.5 px,9552.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
11,7998.5 px,8287.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
12,12026.5 px,11235.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
13,11600.5 px,11343.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
14,11168.5 px,11396.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
15,11694.5 px,11579.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
16,10894.5 px,11821.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
17,12227.5 px,12655.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
18,11495.5 px,14121.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
19,12406.5 px,15980.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
20,10987.5 px,17281.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
21,11002.5 px,18762.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
22,11267.5 px,18637.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
23,12365.5 px,18889.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
24,10616.5 px,18618.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
25,11837.5 px,19255.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
26,12147.5 px,19251.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
27,12520.5 px,19861.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
28,12143.5 px,20258.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
29,11835.5 px,20168.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
30,12289.5 px,20894.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
31,11853.5 px,20440.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
32,11820.5 px,22015.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
33,11220.5 px,23151.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
34,11062.5 px,24691.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
35,10964.5 px,24155.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
36,10767.5 px,27344.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
37,10677.5 px,27721.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
38,10668.5 px,27854.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
39,10999.5 px,27856.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
40,13127.5 px,27102.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
41,13165.5 px,28344.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
42,12105.5 px,29023.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
43,12901.5 px,29336.5 px,[Document Jupiter_03_28_2022_Counted_HC.psb],Great Egret, Jupiter_03_28_2022,HC
