ItemNumber,Xpos,Ypos,image,Species,Annotator
1,11882.5 px,22263.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
2,11902.5 px,22488.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
3,11871.5 px,22397.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
4,11738.5 px,22351.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
5,11614.5 px,22396.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
6,12096.5 px,22370.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
7,11860.5 px,22060.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
8,11745.5 px,22022.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
9,10728.5 px,23034.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
10,11062.5 px,16342.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
11,11216.5 px,16465.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
12,11417.5 px,16286.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
13,11497.5 px,16245.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
14,11455.5 px,16189.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
15,11343.5 px,16305.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
16,11238.5 px,16317.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
17,11188.5 px,16600.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
18,11389.5 px,16454.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
19,11455.5 px,16530.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
20,11576.5 px,16510.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
21,11419.5 px,16629.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
22,11365.5 px,16764.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
23,11374.5 px,16874.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
24,11502.5 px,16804.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
25,11933.5 px,17266.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
26,11824.5 px,17331.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
27,11629.5 px,17398.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
28,7963.5 px,17124.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
29,8028.5 px,17068.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
30,8043.5 px,17226.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
31,8168.5 px,16967.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
