ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,21192.5 px,3680.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
2,21249.5 px,4717.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
3,20315.5 px,5321.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
4,20744.5 px,5375.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
5,20981.5 px,5365.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
6,21762.5 px,5734.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
7,21828.5 px,6138.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
8,20868.5 px,5757.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
9,22744.5 px,6701.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
10,22701.5 px,6996.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
11,22334.5 px,6722.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
12,22234.5 px,6854.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
13,22019.5 px,6723.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
14,21834.5 px,6608.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
15,21629.5 px,6692.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
16,21524.5 px,6305.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
17,21421.5 px,6357.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
18,22449.5 px,6534.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
19,19492.5 px,5823.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
20,19785.5 px,6060.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
21,19785.5 px,6125.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
22,20088.5 px,6681.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
23,20208.5 px,6547.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
24,20343.5 px,6771.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
25,20617.5 px,6082.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
26,18689.5 px,6642.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
27,18691.5 px,6890.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
28,18426.5 px,7168.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
29,19660.5 px,7067.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
30,19813.5 px,7071.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
31,19989.5 px,6909.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
32,19568.5 px,7257.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
33,18970.5 px,7566.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
34,17684.5 px,7124.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
35,20355.5 px,7260.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
36,20437.5 px,7409.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
37,20848.5 px,7077.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
38,21001.5 px,7313.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
39,20850.5 px,7549.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
40,22294.5 px,7559.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
41,22387.5 px,7623.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
42,22483.5 px,7474.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
43,22862.5 px,7458.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
44,17407.5 px,7165.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
45,16945.5 px,8029.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
46,17868.5 px,8367.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
47,17621.5 px,7937.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
48,15991.5 px,8521.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
49,19540.5 px,8317.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
50,20048.5 px,8383.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
51,20356.5 px,8246.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
52,21536.5 px,8434.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
53,21812.5 px,8669.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
54,22169.5 px,8061.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
55,21675.5 px,8161.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
56,22424.5 px,8758.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
57,22665.5 px,8218.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
58,22374.5 px,8659.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
59,21226.5 px,7862.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
60,20758.5 px,9329.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
61,20582.5 px,9616.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
62,21415.5 px,9161.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
63,22180.5 px,9268.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
64,18152.5 px,11036.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
65,19877.5 px,10559.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
66,22099.5 px,10843.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
67,20537.5 px,12326.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
68,20945.5 px,12278.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
69,18005.5 px,12624.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
70,18679.5 px,12626.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
71,19951.5 px,12815.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
72,16773.5 px,13665.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
73,19700.5 px,14398.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
74,20069.5 px,14921.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
75,18815.5 px,14959.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
76,20185.5 px,13720.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
77,21560.5 px,13033.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
78,22644.5 px,13510.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
79,21778.5 px,14349.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
80,22329.5 px,14030.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
81,22428.5 px,14147.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
82,22659.5 px,14309.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
83,22632.5 px,13829.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
84,19951.5 px,13386.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
85,23253.5 px,14584.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
86,22817.5 px,14893.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
87,22328.5 px,15259.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
88,22116.5 px,15383.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
89,22179.5 px,14905.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
90,20526.5 px,15783.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
91,21661.5 px,15734.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
92,23833.5 px,16338.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
93,24407.5 px,16431.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
94,21392.5 px,16358.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
95,19857.5 px,16600.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
96,21227.5 px,16011.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
97,19375.5 px,15650.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
98,20730.5 px,17289.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
99,17645.5 px,15091.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
100,17201.5 px,15578.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
101,17305.5 px,15527.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
102,17471.5 px,15838.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
103,17700.5 px,15845.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
104,16407.5 px,14792.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
105,16092.5 px,14752.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
106,15841.5 px,16888.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
107,15964.5 px,17260.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
108,16039.5 px,17137.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
109,15453.5 px,17581.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
110,16268.5 px,17693.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
111,16804.5 px,18145.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
112,16748.5 px,18068.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
113,19703.5 px,18334.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
114,23425.5 px,16752.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
115,25681.5 px,18109.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
116,26903.5 px,17383.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
117,27137.5 px,16999.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
118,27340.5 px,17542.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
119,27227.5 px,18122.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
120,26707.5 px,17920.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
121,27549.5 px,18076.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
122,27874.5 px,18122.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
123,27646.5 px,18219.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
124,28214.5 px,18439.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
125,26744.5 px,18380.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
126,27803.5 px,18516.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
127,16256.5 px,19026.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
128,16416.5 px,18896.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
129,17949.5 px,18519.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
130,18673.5 px,19477.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
131,21319.5 px,19194.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
132,22388.5 px,18781.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
133,22093.5 px,19040.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
134,23252.5 px,18265.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
135,24730.5 px,18598.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
136,27542.5 px,20199.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
137,27489.5 px,20458.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
138,27764.5 px,20419.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
139,27576.5 px,20852.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
140,27277.5 px,20779.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
141,25250.5 px,20039.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
142,25399.5 px,20564.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
143,23040.5 px,20006.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
144,22364.5 px,20142.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
145,22230.5 px,20855.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
146,22071.5 px,20831.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
147,22784.5 px,20546.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
148,22915.5 px,20487.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
149,23137.5 px,20727.5 px,[Document 6thBridge_03_03_2022_SV_Counted.psb],Great Egret,6thBridge_03_03_2022,SV
