ItemNumber,Xpos,Ypos,image,Species,Tile
1,7066.5 px,4322.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2022
2,7343.5 px,4501.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2023
3,7462.5 px,4799.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2024
4,7935.5 px,5072.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2025
5,8089.5 px,4991.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2026
6,8293.5 px,5178.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2027
7,8496.5 px,5030.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2028
8,8436.5 px,5016.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2029
9,8453.5 px,4959.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2030
10,8469.5 px,4932.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2031
11,8047.5 px,3756.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2032
12,9779.5 px,5844.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2033
13,8164.5 px,5332.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2034
14,8167.5 px,5353.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2035
15,8004.5 px,5735.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2036
16,7994.5 px,5782.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2037
17,7844.5 px,5954.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2038
18,7741.5 px,5904.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2039
19,6604.5 px,7012.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2040
20,6585.5 px,7007.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2041
21,6574.5 px,7032.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2042
22,6975.5 px,7085.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2043
23,6985.5 px,7114.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2044
24,7053.5 px,7298.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2045
25,7004.5 px,7354.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2046
26,7449.5 px,8329.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2047
27,8883.5 px,7346.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2048
28,8561.5 px,7610.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2049
29,8519.5 px,7653.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2050
30,8507.5 px,7698.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2051
31,8525.5 px,7767.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2052
32,8593.5 px,7729.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2053
33,8560.5 px,7798.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2054
34,8439.5 px,7800.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2055
35,8472.5 px,7792.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2056
36,12592.5 px,8148.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2057
37,12639.5 px,8151.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2058
38,11795.5 px,9480.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2059
39,11788.5 px,9440.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2060
40,11855.5 px,9317.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2061
41,11559.5 px,9414.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2062
42,7356.5 px,10523.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2063
43,7396.5 px,11676.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2064
44,9696.5 px,11503.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2065
45,9769.5 px,11326.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2066
46,10207.5 px,11530.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2067
47,11893.5 px,10859.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2068
48,11767.5 px,10971.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2069
49,11393.5 px,11030.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2070
