ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,22098.5 px,8823.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
2,22532.5 px,7921.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
3,24715.5 px,11450.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
4,25003.5 px,11978.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
5,23058.5 px,11182.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
6,15996.5 px,14741.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
7,19311.5 px,15509.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
8,21946.5 px,15587.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
9,23045.5 px,14253.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
10,24798.5 px,13806.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
11,24911.5 px,13073.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
12,26589.5 px,13860.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
13,26332.5 px,14077.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
14,26681.5 px,15980.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
15,24735.5 px,16972.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
16,24410.5 px,17997.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
17,23463.5 px,17272.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
18,21137.5 px,17643.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
19,21080.5 px,17873.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
20,20446.5 px,18272.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
21,16936.5 px,18835.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
22,20689.5 px,19997.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
23,19740.5 px,19898.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
24,18245.5 px,20413.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
25,22645.5 px,18710.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
26,22933.5 px,19192.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
27,22849.5 px,19614.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
28,25398.5 px,19260.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
29,25785.5 px,18788.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
30,25616.5 px,19840.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
31,25405.5 px,18305.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
32,26326.5 px,18488.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
33,26020.5 px,20593.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
34,22316.5 px,21012.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
35,22940.5 px,20787.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
36,21776.5 px,20452.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
37,21793.5 px,20586.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
38,21067.5 px,21152.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
39,20120.5 px,21382.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
40,18150.5 px,22209.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
41,17310.5 px,21815.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
42,17710.5 px,21717.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
43,15769.5 px,23026.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
44,16527.5 px,23098.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
45,18232.5 px,23849.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
46,18122.5 px,24246.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
47,19002.5 px,24402.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
48,19378.5 px,23850.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
49,21313.5 px,23781.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
50,20058.5 px,23557.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
51,20135.5 px,23440.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
52,27897.5 px,25923.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
53,23316.5 px,26628.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
54,17226.5 px,26811.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
55,17356.5 px,28189.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
56,18856.5 px,28271.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
57,19269.5 px,27547.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
58,21186.5 px,28375.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
59,20325.5 px,28951.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
60,19811.5 px,29262.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
61,19045.5 px,29271.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
62,19125.5 px,29553.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
63,18735.5 px,29696.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
64,18924.5 px,29941.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
65,19114.5 px,29951.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
66,18090.5 px,29562.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
67,21813.5 px,30133.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
68,21658.5 px,29945.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
69,20541.5 px,29782.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
70,20885.5 px,29822.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
71,23899.5 px,28558.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
72,23512.5 px,28075.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
73,25238.5 px,28290.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
74,23956.5 px,29405.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
75,24082.5 px,30124.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
76,25598.5 px,28879.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
77,26604.5 px,28223.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
78,28638.5 px,28301.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
79,30091.5 px,27834.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
80,29724.5 px,27156.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
81,29332.5 px,29633.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
82,28636.5 px,29262.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
83,27719.5 px,30382.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
84,28816.5 px,31183.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
85,25611.5 px,32191.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
86,26706.5 px,32154.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
87,23928.5 px,31496.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
88,23330.5 px,32086.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
89,24197.5 px,31800.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
90,22646.5 px,30576.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
91,22732.5 px,33128.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
92,22973.5 px,32668.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
93,20468.5 px,31975.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
94,20786.5 px,31923.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
95,20509.5 px,32441.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
96,21255.5 px,32835.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
97,21059.5 px,31435.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
98,20467.5 px,31672.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
99,20361.5 px,31518.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
100,20669.5 px,31000.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
101,20827.5 px,30218.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
102,20213.5 px,30466.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
103,19852.5 px,30770.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
104,18557.5 px,30440.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
105,19043.5 px,30492.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
106,19288.5 px,30323.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
107,19264.5 px,30194.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
108,18291.5 px,30023.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
109,17670.5 px,29269.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
110,18281.5 px,31131.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
111,19075.5 px,32171.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
112,21264.5 px,33770.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
113,22199.5 px,33850.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
114,24244.5 px,34091.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
115,26013.5 px,34432.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
116,26909.5 px,35081.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
117,15833.5 px,20124.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
118,16650.5 px,20392.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
119,22848.5 px,14343.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
120,23279.5 px,16041.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
121,29404.5 px,22317.5 px,[Document Joule_03_14_2022_SV_Counted.psb],Great Egret,Joule_03_14_2022,SV
